name,datetime,level,guesses,mistakes,completed,time,streak
Alice,2026-01-16 09:00,16,1,0,True,45,5
Bob,2026-01-16 09:15,15,1,5,True,62,5
Charlie,2026-01-16 09:30,12,2,1,True,120,3
SudokuMaster,2026-01-16 09:45,16,1,0,True,30,8
Guest123,2026-01-16 10:00,5,10,3,False,300,0
NoobPlayer,2026-01-16 10:05,2,4,3,False,85,0
SpeedyGonzales,2026-01-16 10:10,12,1,0,True,40,3
issam,2026-01-16 10:30,16,18,0,True,25,16
isam,2026-01-16 10:39,6,10,3,False,7,5
sa,2026-01-16 10:45,13,16,3,False,13,11
asr,2026-01-16 10:52,10,12,3,False,10,9
Joueur_1,2026-01-14 14:22,12,28,14,true,845,12
Joueur_2,2026-01-15 09:12,5,12,6,true,310,5
Joueur_3,2026-01-12 18:30,16,42,20,true,1120,16
Joueur_4,2026-01-16 11:05,1,3,1,true,45,1
Joueur_5,2026-01-13 21:45,8,18,10,true,520,8
Joueur_6,2026-01-14 08:15,14,35,18,true,985,14
Joueur_7,2026-01-12 10:20,3,7,2,true,160,3
Joueur_8,2026-01-15 22:11,10,22,12,true,730,10
Joueur_9,2026-01-16 07:45,7,15,8,true,495,7
Joueur_10,2026-01-13 14:55,15,40,25,true,1095,15
Joueur_11,2026-01-14 16:33,4,10,4,true,275,4
Joueur_12,2026-01-12 12:10,11,25,11,true,740,11
Joueur_13,2026-01-15 13:44,6,14,5,true,410,6
Joueur_14,2026-01-16 16:20,2,5,2,true,150,2
Joueur_15,2026-01-13 09:05,13,30,15,true,865,13
Joueur_16,2026-01-14 19:12,9,20,10,true,640,9
Joueur_17,2026-01-12 15:30,5,11,4,true,380,5
Joueur_18,2026-01-15 08:55,12,26,18,true,855,12
Joueur_19,2026-01-16 10:10,16,45,28,true,1220,16
Joueur_20,2026-01-13 17:40,1,2,1,true,40,1
Joueur_21,2026-01-14 11:22,4,9,5,true,285,4
Joueur_22,2026-01-12 09:15,7,18,7,true,405,7
Joueur_23,2026-01-15 21:05,14,32,22,true,970,14
Joueur_24,2026-01-16 14:30,3,8,3,true,170,3
Joueur_25,2026-01-13 12:12,10,28,15,true,735,10
Joueur_26,2026-01-14 07:40,8,18,8,true,515,8
Joueur_27,2026-01-12 19:55,15,38,28,true,1105,15
Joueur_28,2026-01-15 16:15,6,15,9,true,400,6
Joueur_29,2026-01-16 09:00,11,22,11,true,745,11
Joueur_30,2026-01-13 11:30,2,5,3,true,155,2
Joueur_31,2026-01-14 15:45,13,32,15,true,880,13
Joueur_32,2026-01-12 14:10,5,12,7,true,390,5
Joueur_33,2026-01-15 12:35,16,40,25,true,1215,16
Joueur_34,2026-01-16 18:20,1,3,1,true,50,1
Joueur_35,2026-01-13 22:50,9,21,12,true,625,9
Joueur_36,2026-01-14 06:15,4,10,6,true,295,4
Joueur_37,2026-01-12 11:25,12,30,18,true,860,12
Joueur_38,2026-01-15 10:40,7,16,7,true,400,7
Joueur_39,2026-01-16 13:15,14,35,16,true,975,14
Joueur_40,2026-01-13 16:30,3,8,4,true,180,3
Joueur_41,2026-01-14 18:05,10,25,12,true,740,10
Joueur_42,2026-01-12 13:45,6,15,6,true,405,6
Joueur_43,2026-01-15 17:20,15,35,30,true,1110,15
Joueur_44,2026-01-16 15:55,2,4,2,true,160,2
Joueur_45,2026-01-13 08:10,11,28,11,true,750,11
Joueur_46,2026-01-14 21:35,5,13,8,true,300,5
Joueur_47,2026-01-12 16:25,13,30,20,true,875,13
Joueur_48,2026-01-15 14:10,8,20,8,true,520,8
Joueur_49,2026-01-16 08:45,16,42,25,true,1230,16
Joueur_50,2026-01-13 19:15,1,2,1,true,55,1
Joueur_51,2026-01-14 10:20,9,22,12,true,635,9
Joueur_52,2026-01-12 17:50,4,10,4,true,285,4
Joueur_53,2026-01-15 19:40,12,28,15,true,850,12
