date_connexion,score,temps_jeu_secondes,niveau_atteint,tentatives_total
2026-01-12 05:38:18,161,2631,14,25
2026-01-12 16:33:39,249,2321,1,1
2026-01-12 07:59:03,0,980,49,141
2026-01-14 12:28:38,0,1825,31,88
2026-01-12 07:45:30,0,3355,30,85
2026-01-12 08:05:16,475,494,14,20
2026-01-13 15:38:58,180,2414,15,22
2026-01-15 01:42:06,329,1454,31,43
2026-01-15 18:55:54,572,233,23,27
2026-01-12 18:10:09,0,2633,23,55
2026-01-14 00:34:59,0,3369,21,55
2026-01-13 19:19:57,420,512,36,48
2026-01-14 14:48:16,427,2063,34,38
2026-01-13 14:26:08,177,408,23,49
2026-01-12 18:26:22,0,1695,13,39
2026-01-15 03:21:48,0,3455,37,89
2026-01-13 15:33:43,81,1604,19,40
2026-01-12 23:48:39,35,3109,17,34
2026-01-15 16:45:47,456,1182,40,48
2026-01-12 12:34:50,0,3236,19,46
2026-01-13 16:31:17,298,1644,1,3
2026-01-15 14:16:07,429,191,32,48
2026-01-15 15:21:19,436,808,7,10
2026-01-12 04:09:54,361,1105,2,6
2026-01-12 10:08:46,0,2985,24,55
2026-01-15 22:16:54,0,2022,50,136
2026-01-12 06:31:42,392,213,25,39
2026-01-15 17:51:58,259,1925,9,13
2026-01-14 22:43:52,36,1683,21,48
2026-01-15 06:08:20,507,985,25,29
2026-01-14 19:44:41,0,1836,21,63
2026-01-15 16:05:10,0,870,44,97
2026-01-13 19:57:59,34,2466,22,45
2026-01-12 11:22:23,0,1292,31,83
2026-01-13 18:48:25,294,2500,20,22
2026-01-14 12:00:26,188,2484,19,27
2026-01-14 13:53:47,0,1366,42,92
2026-01-12 20:26:13,414,1550,38,45
2026-01-15 22:52:37,0,2375,20,60
2026-01-14 17:45:15,25,2420,29,51
2026-01-13 11:22:32,0,2449,23,55
2026-01-14 10:33:23,0,1783,47,91
2026-01-14 16:08:17,304,2422,26,33
2026-01-14 11:23:18,275,1325,32,48
2026-01-12 17:31:08,132,3294,2,4
2026-01-15 15:14:02,0,232,31,79
2026-01-13 15:14:55,73,2018,32,56
2026-01-12 05:21:20,0,1122,44,131
2026-01-13 09:19:00,0,3426,29,66
2026-01-12 17:26:18,0,1631,44,91
2026-01-13 22:02:45,441,1197,36,43
2026-01-15 14:13:16,420,484,8,10
2026-01-12 11:25:01,319,472,48,76
2026-01-14 13:54:06,0,367,40,86
2026-01-14 19:14:39,152,2613,9,19
2026-01-13 18:28:44,181,2361,17,29
2026-01-14 17:56:48,128,3547,5,7
2026-01-15 16:05:57,60,3285,19,30
2026-01-13 02:34:19,401,189,42,64
2026-01-14 15:34:53,0,3537,36,101
2026-01-14 21:19:33,290,844,44,67
2026-01-12 05:53:36,0,3051,45,105
2026-01-14 04:55:56,0,2339,46,134
2026-01-15 16:00:45,467,208,1,2
2026-01-14 12:21:54,489,701,30,38
2026-01-12 21:09:19,0,1943,47,87
2026-01-14 08:11:35,316,1790,7,11
2026-01-15 19:10:51,0,2228,29,81
2026-01-14 00:31:08,163,1515,23,42
2026-01-15 02:29:53,279,1925,1,2
2026-01-13 18:45:19,315,409,35,59
2026-01-14 12:07:22,447,1934,50,54
2026-01-14 20:09:05,0,2413,41,97
2026-01-13 02:59:23,323,2454,19,21
2026-01-14 06:33:03,275,1294,15,27
2026-01-13 03:23:51,276,2281,4,6
2026-01-13 12:09:09,394,1334,35,46
2026-01-15 03:13:57,0,3504,39,103
2026-01-15 08:08:08,0,2720,35,61
2026-01-13 08:14:52,30,3013,35,60
2026-01-13 20:29:59,0,3192,9,26
2026-01-12 02:36:14,0,3406,19,56
2026-01-13 07:39:27,51,977,17,47
2026-01-15 02:48:27,99,2690,28,48
2026-01-12 03:28:16,0,1132,49,103
2026-01-12 17:23:41,191,592,37,68
2026-01-15 18:35:03,403,488,6,10
2026-01-14 06:33:40,0,1762,22,59
2026-01-15 15:04:42,253,2048,7,9
2026-01-15 00:20:41,177,1240,20,40
2026-01-14 11:08:44,339,1920,6,8
2026-01-12 13:48:10,246,2585,16,24
2026-01-15 06:23:59,247,3027,30,34
2026-01-12 11:57:29,0,1547,31,75
2026-01-14 16:26:11,0,2862,16,36
2026-01-13 17:09:46,0,2283,33,94
2026-01-15 22:38:33,0,1913,27,59
2026-01-14 00:48:16,0,3382,41,67
2026-01-14 07:23:56,133,3386,38,50
2026-01-12 02:16:43,0,2240,27,66
